Species Name,Number of Annotations,Common Name
Tetrahymena thermophila SB210,2554,Protozoa
Zootermopsis nevadensis,2099,Termite
Paramecium tetraurelia,1376,Protozoa
Stegodyphus mimosarum,786,Spider
Escherichia coli,441,Bacteria
Litopenaeus vannamei,430,Shrimp
Pseudocohnilembus persalinus,421,Protozoa
Aedes aegypti,340,Mosquito
Penaeus monodon,298,Shrimp
Anopheles gambiae str. PEST,240,Mosquito
Eriocheir sinensis,230,Crab
Procambarus clarkii,218,Crayfish
Scylla paramamosain,213,Crab
Marsupenaeus japonicus,196,Shrimp
Culex quinquefasciatus,186,Mosquito
Lasius niger,167,Ant
Tetrahymena thermophila,154,Protozoa
Crassostrea gigas,152,Oyster
Fenneropenaeus chinensis,150,Shrimp
Ichthyophthirius multifiliis,145,Protozoa
Oryctes borbonicus,124,Beetle
Drosophila melanogaster,123,Fruit fly
Cherax quadricarinatus,120,Crayfish
Drosophila willistoni,116,Fruit fly
Daphnia pulex,112,Water flea
Danio rerio,106,Zebrafish
Drosophila mojavensis,105,Fruit fly
Macrobrachium nipponense,97,Shrimp
Habropoda laboriosa,92,Bee
Drosophila ananassae,85,Fruit fly
Stylonychia lemnae,84,Protozoa
Lepeophtheirus salmonis,83,Copepod
Anopheles sinensis,82,Mosquito
Harpegnathos saltator,81,Ant
Camponotus floridanus,79,Ant
Oxytricha trifallax,77,Protozoa
Macrobrachium rosenbergii,77,Shrimp
Bombyx mori,77,Silkworm
Callinectes sapidus,73,Crab
Papilio xuthus,70,Butterfly
Oncorhynchus mykiss,68,Fish
Melipona quadrifasciata,68,Bee
Xenopus laevis,68,Frog
Mus musculus,67,Mouse
Drosophila virilis,66,Fruit fly
Portunus trituberculatus,64,Crab
Panulirus argus,62,Lobster
Anopheles darlingi,62,Mosquito
Cerapachys biroi,61,Ant
Drosophila grimshawi,61,Fruit fly
Operophtera brumata,59,Moth
Drosophila pseudoobscura pseudoobscura,59,Fruit fly
Drosophila persimilis,58,Fruit fly
Drosophila yakuba,57,Fruit fly
Tribolium castaneum,57,Beetle
Papilio machaon,54,Butterfly
Drosophila erecta,51,Fruit fly
Homarus americanus,49,Lobster
Homo sapiens,46,Human
Schistosoma mansoni,45,Trematode
,13841,
