Query Name	Accession	Subject Name	Taxonomy	Hsp Expect
TRINITY_DN100177_c0_g1_i1	gi|522048092|ref|WP_020559301.1|	glutamate synthase	Thiothrix flexilis	4.944e-17
TRINITY_DN100126_c0_g1_i1	gi|225714598|gb|ACO13145.1|	Serine/threonine-protein phosphatase 4 catalytic subunit	Lepeophtheirus salmonis	1.37862e-20
TRINITY_DN100150_c0_g1_i1	gi|861604866|gb|KMQ84275.1|	pol protein	Lasius niger	1.15695e-11
TRINITY_DN100508_c0_g1_i1	gi|642126869|emb|CDQ60578.1|	unnamed protein product	Oncorhynchus mykiss	6.25408e-12
TRINITY_DN100556_c0_g1_i1	gi|321457369|gb|EFX68457.1|	ATP-binding cassette, sub-family C, member 4	Daphnia pulex	5.71957e-29
TRINITY_DN100539_c0_g1_i1	gi|677426307|gb|KFQ28312.1|	Ubiquitin carboxyl-terminal hydrolase 30, partial	Merops nubicus	4.55443e-12
TRINITY_DN100540_c0_g1_i1	gi|70797637|gb|AAZ08616.1|	high-affinity serotonin transporter protein, partial	Orconectes immunis	1.04864e-22
TRINITY_DN100511_c0_g1_i1	gi|915657514|gb|KOC60827.1|	Wee1-like protein kinase	Habropoda laboriosa	3.23733e-13
TRINITY_DN100346_c0_g1_i1	gi|673035698|ref|XP_008871810.1|	histone H2B	Aphanomyces invadans	4.45472e-26
-	gi|574472249|gb|ETV99254.1|	histone H2B	Aphanomyces invadans	-
TRINITY_DN100342_c0_g1_i1	gi|675370211|gb|KFM63113.1|	Beta-hexosaminidase subunit beta, partial	Stegodyphus mimosarum	3.00975e-28
TRINITY_DN100362_c0_g1_i1	gi|194895601|ref|XP_001978294.1|	GG17764	Drosophila erecta	4.3441e-12
-	gi|190649943|gb|EDV47221.1|	uncharacterized protein Dere_GG17764	Drosophila erecta	-
TRINITY_DN100390_c0_g1_i1	gi|954265649|gb|KRX58374.1|	Nose resistant to fluoxetine protein 6	Trichinella sp. T9	8.47802e-14
TRINITY_DN100391_c0_g1_i1	gi|551331081|ref|WP_022950518.1|	cell envelope biogenesis protein OmpA	Leucothrix mucor	5.21999e-16
TRINITY_DN100713_c0_g2_i1	gi|560118451|emb|CDJ96923.1|	Integrase domain containing protein	Haemonchus contortus	7.29582e-21
TRINITY_DN100066_c0_g1_i1	gi|915666273|gb|KOC68178.1|	Prolyl 3-hydroxylase 2, partial	Habropoda laboriosa	1.40005e-09
TRINITY_DN100066_c0_g2_i1	gi|646720427|gb|KDR22166.1|	Prolyl 3-hydroxylase 1, partial	Zootermopsis nevadensis	4.00132e-76
TRINITY_DN100632_c0_g1_i1	gi|646721967|gb|KDR23111.1|	Breakpoint cluster region protein	Zootermopsis nevadensis	1.62186e-26
TRINITY_DN100268_c0_g1_i1	gi|405955620|gb|EKC22669.1|	S phase cyclin A-associated protein in the endoplasmic reticulum	Crassostrea gigas	1.37892e-14
TRINITY_DN100212_c0_g1_i1	gi|669222739|emb|CDW55955.1|	protocadherin Fat 1	Trichuris trichiura	4.89986e-13
TRINITY_DN100210_c0_g1_i1	gi|646702401|gb|KDR11613.1|	Mothers against decapentaplegic-like protein 4	Zootermopsis nevadensis	9.11718e-14
TRINITY_DN100243_c0_g1_i1	gi|646710835|gb|KDR16253.1|	Formin-like protein 1	Zootermopsis nevadensis	3.38009e-19
TRINITY_DN100282_c0_g1_i1	gi|937546078|gb|ALI56846.1|	translation initiation factor 1	Celeribacter marinus	1.68363e-30
TRINITY_DN100413_c0_g1_i1	gi|906318611|emb|CEP22798.1|	unnamed protein product	Cyberlindnera jadinii	1.18454e-09
TRINITY_DN100401_c0_g1_i1	gi|835900568|gb|KLU91856.1|	60S ribosomal protein L37	Magnaporthiopsis poae ATCC 64411	6.37574e-32
TRINITY_DN100488_c0_g1_i1	gi|914572577|gb|KOB75400.1|	Plekhh1, partial	Operophtera brumata	1.39636e-13
TRINITY_DN100492_c0_g1_i1	gi|568254903|gb|ETN63794.1|	plasma membrane calcium-transporting ATPase 2	Anopheles darlingi	7.4831e-58
TRINITY_DN14338_c0_g1_i1	gi|906468424|gb|KNC29439.1|	Glucose dehydrogenase [FAD, quinone]	Lucilia cuprina	1.62995e-37
-	gi|820689975|tpe|CEL65721.1|	TPA: DNA-directed RNA polymerase II subunit RPB3	Neospora caninum Liverpool	-
TRINITY_DN58418_c0_g1_i1	gi|930665895|gb|KPJ07020.1|	Formin-like protein CG32138	Papilio machaon	2.40239e-103
TRINITY_DN58410_c0_g1_i1	gi|194907333|ref|XP_001981533.1|	GG12110	Drosophila erecta	2.69199e-37
-	gi|190656171|gb|EDV53403.1|	uncharacterized protein Dere_GG12110, isoform A	Drosophila erecta	-
-	gi|930670954|gb|KPJ11757.1|	DnaJ-like subfamily C member 7	Papilio machaon	-
TRINITY_DN95780_c0_g1_i1	gi|703070252|ref|XP_010088740.1|	U5 small nuclear ribonucleoprotein 200 kDa helicase	Morus notabilis	3.42176e-24
-	gi|587846435|gb|EXB36921.1|	U5 small nuclear ribonucleoprotein 200 kDa helicase	Morus notabilis	-
TRINITY_DN95719_c0_g1_i1	gi|954599328|gb|KRZ76338.1|	Elongation factor Tu, mitochondrial	Trichinella papuae	9.99108e-12
TRINITY_DN95769_c0_g1_i1	gi|947372886|ref|WP_056038985.1|	30S ribosomal protein S17	Loktanella sp. 3ANDIMAR09	4.83283e-19
-	gi|943684440|gb|KQI67120.1|	30S ribosomal protein S17	Loktanella sp. 3ANDIMAR09	-
TRINITY_DN95730_c0_g1_i1	gi|930657696|gb|KPI99989.1|	Trypsin-3	Papilio xuthus	5.80723e-12
TRINITY_DN98909_c0_g1_i1	gi|194758613|ref|XP_001961556.1|	GF14875	Drosophila ananassae	9.01357e-21
-	gi|190615253|gb|EDV30777.1|	uncharacterized protein Dana_GF14875	Drosophila ananassae	-
TRINITY_DN90979_c2_g1_i2	gi|646710545|gb|KDR16025.1|	R3H domain-containing protein C19orf22-like protein	Zootermopsis nevadensis	3.84991e-20
TRINITY_DN90955_c0_g1_i1	gi|646723246|gb|KDR23920.1|	Ligand of Numb protein X 2	Zootermopsis nevadensis	3.00027e-94
TRINITY_DN90989_c0_g2_i2	gi|646713602|gb|KDR17893.1|	Melanotransferrin	Zootermopsis nevadensis	0.0
TRINITY_DN90938_c1_g1_i1	gi|934152774|gb|KPM03591.1|	rhomboid-related protein 2-like protein	Sarcoptes scabiei	5.5621e-30
TRINITY_DN90984_c0_g1_i3	gi|646707466|gb|KDR14218.1|	Protein BANP	Zootermopsis nevadensis	4.25961e-48
TRINITY_DN90950_c2_g3_i2	gi|594143312|emb|CCW72349.1|	unnamed protein product	Phytomonas sp. isolate Hart1	1.79947e-10
TRINITY_DN90941_c1_g1_i3	gi|925681475|gb|KOX78220.1|	Programmed cell death protein 2	Melipona quadrifasciata	1.70814e-21
TRINITY_DN90958_c1_g1_i2	gi|356651204|gb|AET34919.1|	aquaporin	Macrobrachium rosenbergii	1.11647e-94
TRINITY_DN90958_c1_g1_i3	gi|336169734|gb|AEI25531.1|	aquaporin 1	Penaeus monodon	1.99063e-95
TRINITY_DN90958_c1_g1_i4	gi|356651204|gb|AET34919.1|	aquaporin	Macrobrachium rosenbergii	9.2206e-96
TRINITY_DN90967_c0_g1_i1	gi|356651210|gb|AET34922.1|	interferon-related developmental regulator 1	Macrobrachium rosenbergii	3.01895e-56
TRINITY_DN90967_c0_g1_i2	gi|356651210|gb|AET34922.1|	interferon-related developmental regulator 1	Macrobrachium rosenbergii	4.4494e-47
TRINITY_DN90967_c0_g1_i3	gi|356651210|gb|AET34922.1|	interferon-related developmental regulator 1	Macrobrachium rosenbergii	2.45452e-129
TRINITY_DN90967_c0_g1_i4	gi|356651210|gb|AET34922.1|	interferon-related developmental regulator 1	Macrobrachium rosenbergii	3.62145e-108
TRINITY_DN90967_c1_g1_i1	gi|646704039|gb|KDR12406.1|	Trafficking protein particle complex subunit 5	Zootermopsis nevadensis	7.79073e-85
TRINITY_DN90967_c1_g1_i2	gi|646704039|gb|KDR12406.1|	Trafficking protein particle complex subunit 5	Zootermopsis nevadensis	7.19613e-85
TRINITY_DN90961_c1_g1_i1	gi|472271620|gb|AGI37354.1|	lysin motif-containing protein	Procambarus clarkii	1.41537e-17
TRINITY_DN90961_c1_g2_i1	gi|472271620|gb|AGI37354.1|	lysin motif-containing protein	Procambarus clarkii	1.65292e-42
TRINITY_DN90961_c1_g3_i1	gi|472271620|gb|AGI37354.1|	lysin motif-containing protein	Procambarus clarkii	5.68253e-18
TRINITY_DN90978_c3_g7_i1	gi|668466665|gb|KFB53622.1|	AGAP002606-PA-like protein	Anopheles sinensis	8.28217e-07
TRINITY_DN90978_c3_g7_i3	gi|668466665|gb|KFB53622.1|	AGAP002606-PA-like protein	Anopheles sinensis	7.51168e-07
TRINITY_DN90971_c1_g1_i1	gi|7414464|emb|CAB85963.1|	alpha glucosidase	Litopenaeus vannamei	0.0
TRINITY_DN90966_c0_g1_i3	gi|166240350|ref|XP_001733016.1|	EGF-like domain-containing protein	Dictyostelium discoideum AX4	1.39197e-38
-	gi|165988554|gb|EDR41055.1|	EGF-like domain-containing protein	Dictyostelium discoideum AX4	-
TRINITY_DN90966_c0_g1_i4	gi|166240350|ref|XP_001733016.1|	EGF-like domain-containing protein	Dictyostelium discoideum AX4	2.21412e-38
-	gi|165988554|gb|EDR41055.1|	EGF-like domain-containing protein	Dictyostelium discoideum AX4	-
