Query Name	Accession	Subject Name	Taxonomy	Hsp Expect
TRINITY_DN100193_c0_g1_i1	gi|954186892|gb|KRW99741.1|	Trimeric LpxA-like protein	Pseudocohnilembus persalinus	1.50137e-13
TRINITY_DN100177_c0_g1_i1	gi|522048092|ref|WP_020559301.1|	glutamate synthase	Thiothrix flexilis	4.944e-17
TRINITY_DN100102_c0_g1_i1	gi|954198021|gb|KRX10691.1|	Translation protein SH3-like domain	Pseudocohnilembus persalinus	1.21387e-43
TRINITY_DN100126_c0_g1_i1	gi|225714598|gb|ACO13145.1|	Serine/threonine-protein phosphatase 4 catalytic subunit	Lepeophtheirus salmonis	1.37862e-20
TRINITY_DN100150_c0_g1_i1	gi|861604866|gb|KMQ84275.1|	pol protein	Lasius niger	1.15695e-11
-	gi|124414595|emb|CAK79698.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN100508_c0_g1_i1	gi|642126869|emb|CDQ60578.1|	unnamed protein product	Oncorhynchus mykiss	6.25408e-12
-	gi|124406820|emb|CAK72228.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN100556_c0_g1_i1	gi|321457369|gb|EFX68457.1|	ATP-binding cassette, sub-family C, member 4	Daphnia pulex	5.71957e-29
TRINITY_DN100539_c0_g1_i1	gi|677426307|gb|KFQ28312.1|	Ubiquitin carboxyl-terminal hydrolase 30, partial	Merops nubicus	4.55443e-12
TRINITY_DN100540_c0_g1_i1	gi|70797637|gb|AAZ08616.1|	high-affinity serotonin transporter protein, partial	Orconectes immunis	1.04864e-22
TRINITY_DN100511_c0_g1_i1	gi|915657514|gb|KOC60827.1|	Wee1-like protein kinase	Habropoda laboriosa	3.23733e-13
TRINITY_DN100346_c0_g1_i1	gi|673035698|ref|XP_008871810.1|	histone H2B	Aphanomyces invadans	4.45472e-26
-	gi|574472249|gb|ETV99254.1|	histone H2B	Aphanomyces invadans	-
-	gi|124421540|emb|CAK86410.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN100342_c0_g1_i1	gi|675370211|gb|KFM63113.1|	Beta-hexosaminidase subunit beta, partial	Stegodyphus mimosarum	3.00975e-28
TRINITY_DN100362_c0_g1_i1	gi|194895601|ref|XP_001978294.1|	GG17764	Drosophila erecta	4.3441e-12
-	gi|190649943|gb|EDV47221.1|	uncharacterized protein Dere_GG17764	Drosophila erecta	-
TRINITY_DN100390_c0_g1_i1	gi|954265649|gb|KRX58374.1|	Nose resistant to fluoxetine protein 6	Trichinella sp. T9	8.47802e-14
-	gi|124407760|emb|CAK73146.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN100391_c0_g1_i1	gi|551331081|ref|WP_022950518.1|	cell envelope biogenesis protein OmpA	Leucothrix mucor	5.21999e-16
TRINITY_DN100713_c0_g2_i1	gi|560118451|emb|CDJ96923.1|	Integrase domain containing protein	Haemonchus contortus	7.29582e-21
TRINITY_DN100066_c0_g1_i1	gi|915666273|gb|KOC68178.1|	Prolyl 3-hydroxylase 2, partial	Habropoda laboriosa	1.40005e-09
TRINITY_DN100066_c0_g2_i1	gi|646720427|gb|KDR22166.1|	Prolyl 3-hydroxylase 1, partial	Zootermopsis nevadensis	4.00132e-76
TRINITY_DN100062_c0_g1_i1	gi|118355320|ref|XP_001010920.1|	WD domain, G-beta repeat protein	Tetrahymena thermophila SB210	4.32679e-25
-	gi|89292687|gb|EAR90675.1|	WD domain, G-beta repeat protein	Tetrahymena thermophila SB210	-
TRINITY_DN100008_c0_g1_i1	gi|829183342|ref|XP_001020944.3|	uracil-DNA glycosylase superfamily protein	Tetrahymena thermophila SB210	3.74341e-80
-	gi|586733399|gb|EAS00699.3|	uracil-DNA glycosylase superfamily protein	Tetrahymena thermophila SB210	-
TRINITY_DN100632_c0_g1_i1	gi|646721967|gb|KDR23111.1|	Breakpoint cluster region protein	Zootermopsis nevadensis	1.62186e-26
-	gi|124396190|emb|CAK61702.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN100231_c0_g1_i1	gi|954197890|gb|KRX10561.1|	Ribosomal protein L31e domain	Pseudocohnilembus persalinus	2.15053e-27
TRINITY_DN100231_c0_g2_i1	gi|954197890|gb|KRX10561.1|	Ribosomal protein L31e domain	Pseudocohnilembus persalinus	1.65602e-27
TRINITY_DN100268_c0_g1_i1	gi|405955620|gb|EKC22669.1|	S phase cyclin A-associated protein in the endoplasmic reticulum	Crassostrea gigas	1.37892e-14
TRINITY_DN100212_c0_g1_i1	gi|669222739|emb|CDW55955.1|	protocadherin Fat 1	Trichuris trichiura	4.89986e-13
TRINITY_DN100210_c0_g1_i1	gi|646702401|gb|KDR11613.1|	Mothers against decapentaplegic-like protein 4	Zootermopsis nevadensis	9.11718e-14
TRINITY_DN100243_c0_g1_i1	gi|646710835|gb|KDR16253.1|	Formin-like protein 1	Zootermopsis nevadensis	3.38009e-19
