#BUSCO_group	Status	Transcript	Bitscore	Length
BUSCOaEOG7BD0RM	Fragmented	TRINITY_DN632_c0_g1_i1	142.1	321
BUSCOaEOG7748W4	Fragmented	TRINITY_DN54395_c17_g1_i1	600.2	610
BUSCOaEOG7VTS2T	Duplicated	TRINITY_DN46570_c1_g1_i1	456.1	224
BUSCOaEOG7W1HKQ	Duplicated	TRINITY_DN23840_c0_g1_i1	197.8	142
BUSCOaEOG72CHFB	Complete	TRINITY_DN89915_c0_g1_i2	184.3	262
BUSCOaEOG74V8CD	Fragmented	TRINITY_DN102352_c3_g3_i3	1110.2	754
BUSCOaEOG79WNKK	Duplicated	TRINITY_DN91311_c0_g1_i1	687.3	421
BUSCOaEOG7T23ST	Complete	TRINITY_DN101804_c7_g2_i4	215.4	161
BUSCOaEOG7Z9J2K	Duplicated	TRINITY_DN85795_c0_g1_i2	241.1	198
BUSCOaEOG74Z4MF	Duplicated	TRINITY_DN68265_c0_g1_i1	695.8	597
BUSCOaEOG7K9XGX	Fragmented	TRINITY_DN52045_c3_g1_i1	646.1	301
BUSCOaEOG799F4M	Complete	TRINITY_DN93268_c1_g1_i2	618.3	493
BUSCOaEOG7GBTCC	Complete	TRINITY_DN98435_c2_g1_i1	167.3	180
BUSCOaEOG7D2SW4	Duplicated	TRINITY_DN98479_c3_g1_i2	144.8	214
BUSCOaEOG7S2DBZ	Duplicated	TRINITY_DN83455_c0_g2_i1	834.6	530
BUSCOaEOG70GZWW	Duplicated	TRINITY_DN99364_c4_g2_i3	945.4	436
BUSCOaEOG77QH9J	Duplicated	TRINITY_DN46151_c0_g1_i1	321.5	542
BUSCOaEOG77B1CH	Complete	TRINITY_DN19739_c0_g1_i1	438.9	290
BUSCOaEOG7FJVF6	Duplicated	TRINITY_DN85703_c1_g1_i2	257.2	373
BUSCOaEOG7JTKBG	Duplicated	TRINITY_DN98287_c0_g1_i3	153.7	269
BUSCOaEOG7SVC98	Duplicated	TRINITY_DN85874_c2_g1_i2	269.8	196
BUSCOaEOG75R3JJ	Duplicated	TRINITY_DN101206_c0_g1_i1	429.2	270
BUSCOaEOG7Z0X96	Complete	TRINITY_DN98536_c1_g1_i1	1068.7	954
BUSCOaEOG70KV4Q	Duplicated	TRINITY_DN92913_c2_g1_i3	255.7	272
BUSCOaEOG7N0QMM	Fragmented	TRINITY_DN45684_c1_g1_i1	298.4	204
BUSCOaEOG7BWC0P	Complete	TRINITY_DN93027_c0_g2_i1	215.2	330
BUSCOaEOG7Q04BV	Duplicated	TRINITY_DN92351_c0_g1_i1	613.3	464
BUSCOaEOG7QCM9C	Duplicated	TRINITY_DN87188_c1_g1_i1	575.2	371
BUSCOaEOG7H1X22	Fragmented	TRINITY_DN92105_c0_g1_i1	267.6	191
BUSCOaEOG703GWZ	Fragmented	TRINITY_DN90519_c3_g2_i1	499.1	249
BUSCOaEOG7DRWH9	Fragmented	TRINITY_DN93142_c2_g3_i3	232.2	279
BUSCOaEOG75TZSR	Complete	TRINITY_DN100978_c2_g1_i4	344.5	338
BUSCOaEOG76J2GB	Complete	TRINITY_DN92284_c6_g2_i1	375.6	237
BUSCOaEOG7H4S79	Duplicated	TRINITY_DN100918_c4_g2_i3	1780.9	784
BUSCOaEOG74NHX6	Duplicated	TRINITY_DN77233_c0_g1_i4	492.1	336
BUSCOaEOG7P91NT	Fragmented	TRINITY_DN102317_c0_g1_i1	439.6	307
BUSCOaEOG73JZB1	Duplicated	TRINITY_DN92695_c0_g1_i1	268.6	144
BUSCOaEOG7J7BX5	Complete	TRINITY_DN60059_c0_g1_i1	131.0	185
BUSCOaEOG7QCMB3	Duplicated	TRINITY_DN102327_c4_g1_i4	331.9	269
BUSCOaEOG77HRTW	Duplicated	TRINITY_DN91428_c2_g1_i2	535.2	412
BUSCOaEOG7QP716	Duplicated	TRINITY_DN101464_c0_g1_i2	996.9	617
BUSCOaEOG7GBTC7	Duplicated	TRINITY_DN100720_c0_g1_i6	319.9	198
BUSCOaEOG7DP186	Duplicated	TRINITY_DN54606_c29_g1_i1	940.9	573
BUSCOaEOG7BKR9J	Complete	TRINITY_DN89566_c1_g1_i2	248.5	264
BUSCOaEOG7RNXG4	Complete	TRINITY_DN98605_c3_g1_i2	226.7	127
BUSCOaEOG7S58M2	Fragmented	TRINITY_DN44671_c0_g1_i1	995.7	835
BUSCOaEOG7HN4GG	Complete	TRINITY_DN54241_c0_g1_i1	384.9	326
BUSCOaEOG7S84WB	Duplicated	TRINITY_DN89775_c1_g1_i4	214.4	173
BUSCOaEOG78HG7S	Fragmented	TRINITY_DN58129_c0_g1_i1	585.9	398
BUSCOaEOG7S84VN	Duplicated	TRINITY_DN68642_c0_g1_i1	212.6	282
BUSCOaEOG7GV5JP	Complete	TRINITY_DN89230_c0_g1_i3	315.4	236
BUSCOaEOG7PW83H	Duplicated	TRINITY_DN90925_c0_g1_i2	961.9	510
BUSCOaEOG77MN3G	Duplicated	TRINITY_DN93253_c2_g1_i1	619.0	579
BUSCOaEOG7NWJRG	Duplicated	TRINITY_DN55331_c0_g1_i1	259.6	147
BUSCOaEOG76TP6K	Duplicated	TRINITY_DN99796_c3_g1_i1	308.4	195
BUSCOaEOG76QSZG	Duplicated	TRINITY_DN96956_c0_g1_i1	343.3	175
BUSCOaEOG7P65FH	Complete	TRINITY_DN71556_c0_g1_i1	460.5	296
BUSCOaEOG76B9ZZ	Complete	TRINITY_DN99290_c5_g6_i1	477.3	367
BUSCOaEOG73ZF7Z	Duplicated	TRINITY_DN54488_c16_g1_i1	659.6	343
BUSCOaEOG7VF93Z	Complete	TRINITY_DN54497_c44_g1_i1	476.3	278
BUSCOaEOG7SZ7H4	Complete	TRINITY_DN91875_c6_g2_i3	537.9	862
BUSCOaEOG728N65	Duplicated	TRINITY_DN54520_c11_g1_i1	336.0	258
BUSCOaEOG7DG8S2	Duplicated	TRINITY_DN91255_c0_g1_i14	1760.0	1071
BUSCOaEOG7GNF2N	Fragmented	TRINITY_DN98354_c0_g1_i1	282.7	184
BUSCOaEOG7ZM4RV	Fragmented	TRINITY_DN92616_c0_g1_i2	507.0	501
BUSCOaEOG7P0F0Q	Fragmented	TRINITY_DN54334_c54_g1_i1	183.6	120
BUSCOaEOG7ZDD8W	Duplicated	TRINITY_DN54629_c23_g1_i1	333.1	326
BUSCOaEOG76TP6D	Duplicated	TRINITY_DN89965_c1_g2_i1	444.5	340
BUSCOaEOG7V1T6C	Duplicated	TRINITY_DN102292_c1_g1_i4	147.2	101
BUSCOaEOG70D3N2	Duplicated	TRINITY_DN93121_c3_g1_i1	479.5	334
BUSCOaEOG7D8JC3	Complete	TRINITY_DN34662_c0_g1_i1	190.1	135
BUSCOaEOG7WHVR3	Complete	TRINITY_DN92235_c1_g2_i1	405.8	309
BUSCOaEOG7PW83M	Duplicated	TRINITY_DN90360_c1_g1_i4	967.6	444
BUSCOaEOG7Z9J1R	Complete	TRINITY_DN60009_c0_g1_i1	588.0	340
BUSCOaEOG74Z4PS	Complete	TRINITY_DN53375_c0_g1_i1	139.5	166
BUSCOaEOG7C5ZPC	Complete	TRINITY_DN85979_c0_g1_i2	544.4	472
BUSCOaEOG7H1X14	Complete	TRINITY_DN9467_c0_g1_i1	142.8	302
BUSCOaEOG7Z6NT6	Complete	TRINITY_DN93894_c0_g1_i1	263.4	192
BUSCOaEOG7WXBR1	Duplicated	TRINITY_DN82320_c0_g1_i1	212.6	117
BUSCOaEOG7DG8S2	Duplicated	TRINITY_DN99013_c0_g1_i9	1762.8	1080
BUSCOaEOG78MBFP	Complete	TRINITY_DN101424_c2_g1_i1	801.8	1342
BUSCOaEOG7Q30KP	Complete	TRINITY_DN54602_c19_g1_i1	618.0	434
BUSCOaEOG79SSCG	Duplicated	TRINITY_DN98020_c0_g1_i1	386.6	192
BUSCOaEOG7B3D3M	Complete	TRINITY_DN64486_c1_g1_i1	127.5	145
BUSCOaEOG7162JF	Duplicated	TRINITY_DN91176_c0_g1_i1	330.8	344
BUSCOaEOG7WHVSK	Fragmented	TRINITY_DN95742_c1_g1_i4	162.5	112
BUSCOaEOG7NH2RZ	Duplicated	TRINITY_DN99618_c0_g1_i2	587.5	586
BUSCOaEOG7CP9XF	Duplicated	TRINITY_DN94575_c0_g1_i1	188.5	178
BUSCOaEOG7N0QK9	Fragmented	TRINITY_DN90837_c1_g2_i2	456.6	291
BUSCOaEOG7WQM6W	Complete	TRINITY_DN46387_c0_g1_i1	754.3	680
BUSCOaEOG7KT8PW	Complete	TRINITY_DN54467_c7_g1_i1	292.5	320
BUSCOaEOG7SNMSF	Fragmented	TRINITY_DN99352_c0_g1_i1	784.3	404
BUSCOaEOG7M3WF0	Fragmented	TRINITY_DN83779_c1_g1_i1	200.7	167
