#BUSCO_group	Status	Transcript	Bitscore	Length
BUSCOaEOG7BD0RM	Fragmented	50935_	142.1	321
BUSCOaEOG7W1HKQ	Duplicated	9231_	197.8	142
BUSCOaEOG72CHFB	Complete	67340_	184.3	262
BUSCOaEOG79WNKK	Duplicated	63084_	290.0	350
BUSCOaEOG7T23ST	Complete	91801_	215.4	161
BUSCOaEOG7Z9J2K	Duplicated	71699_	241.1	198
BUSCOaEOG74Z4MF	Duplicated	113775_	1336.6	667
BUSCOaEOG7JB74M	Complete	37823_	289.8	269
BUSCOaEOG7K9XGX	Fragmented	39335_	504.0	245
BUSCOaEOG7KT8R4	Duplicated	51287_	264.9	266
BUSCOaEOG799F4M	Complete	69489_	618.3	493
BUSCOaEOG7GBTCC	Complete	111741_	167.3	180
BUSCOaEOG7D2SW4	Duplicated	111723_	148.4	287
BUSCOaEOG7S2DBZ	Duplicated	56552_	834.6	530
BUSCOaEOG70GZWW	Duplicated	109693_	945.4	436
BUSCOaEOG77B1CH	Complete	44778_	438.9	290
BUSCOaEOG7FJVF6	Duplicated	71678_	257.2	373
BUSCOaEOG7SVC98	Duplicated	55098_	152.0	227
BUSCOaEOG7Z0X96	Complete	103269_	1068.7	954
BUSCOaEOG70KV4Q	Duplicated	72808_	255.7	272
BUSCOaEOG7N0QMM	Fragmented	37915_	298.4	204
BUSCOaEOG7Q04BV	Duplicated	66499_	613.2	464
BUSCOaEOG7QCM9C	Duplicated	67585_	632.7	407
BUSCOaEOG7H1X22	Fragmented	104581_	186.0	127
BUSCOaEOG7DRWH9	Fragmented	88665_	232.2	279
BUSCOaEOG75TZSR	Complete	89284_	344.5	338
BUSCOaEOG76J2GB	Complete	64982_	375.6	237
BUSCOaEOG7H4S79	Duplicated	89514_	1781.0	784
BUSCOaEOG73JZB1	Duplicated	102960_	268.6	144
BUSCOaEOG7FG05V	Fragmented	54043_	519.1	516
BUSCOaEOG7J7BX5	Complete	67106_	131.0	185
BUSCOaEOG7QCMB3	Duplicated	90594_	331.9	269
BUSCOaEOG77HRTW	Duplicated	57361_	535.2	412
BUSCOaEOG7QP716	Duplicated	97500_	982.8	608
BUSCOaEOG7GBTC7	Duplicated	93143_	319.9	198
BUSCOaEOG7DP186	Duplicated	52270_	833.3	512
BUSCOaEOG7BKR9J	Complete	55314_	248.5	264
BUSCOaEOG7HN4GG	Complete	18531_	384.9	326
BUSCOaEOG7S84WB	Duplicated	68378_	214.4	173
BUSCOaEOG78HG7S	Fragmented	28565_	585.9	398
BUSCOaEOG7S84VN	Duplicated	38634_	194.7	200
BUSCOaEOG7PW83H	Complete	48965_	961.0	510
BUSCOaEOG77MN3G	Duplicated	69478_	618.3	579
BUSCOaEOG7NWJRG	Duplicated	42689_	266.0	150
BUSCOaEOG76TP6K	Complete	106542_	300.7	178
BUSCOaEOG76B9ZZ	Complete	112524_	477.3	367
BUSCOaEOG73ZF7Z	Duplicated	47808_	659.5	343
BUSCOaEOG728N65	Duplicated	35609_	336.0	258
BUSCOaEOG7DG8S2	Duplicated	54551_	1762.8	1080
BUSCOaEOG7GNF2N	Fragmented	105954_	266.0	165
BUSCOaEOG7SVC8G	Complete	38689_	685.8	493
BUSCOaEOG7ZM4RV	Fragmented	55965_	506.8	501
BUSCOaEOG7V1T6C	Duplicated	96484_	147.2	101
BUSCOaEOG70D3N2	Duplicated	89056_	479.5	334
BUSCOaEOG7WHVR3	Complete	65084_	405.8	309
BUSCOaEOG7PW83M	Duplicated	58291_	967.2	444
BUSCOaEOG7Z9J1R	Complete	67111_	588.0	340
BUSCOaEOG74Z4PS	Complete	15702_	139.5	166
BUSCOaEOG7C5ZPC	Complete	71500_	544.4	472
BUSCOaEOG7H1X14	Complete	37653_	142.8	302
BUSCOaEOG7Z6NT6	Complete	50449_	263.4	192
BUSCOaEOG7WXBR1	Duplicated	50974_	216.3	117
BUSCOaEOG74BX73	Complete	14253_	353.9	206
BUSCOaEOG7DG8S2	Duplicated	112841_	1730.2	1036
BUSCOaEOG78MBFP	Complete	97509_	801.8	1342
BUSCOaEOG7Q30KP	Complete	31786_	618.0	434
BUSCOaEOG7B3D3M	Complete	34366_	127.5	145
BUSCOaEOG7WHVSK	Fragmented	100567_	162.5	112
BUSCOaEOG7NH2RZ	Duplicated	103620_	587.5	586
BUSCOaEOG7CP9XF	Duplicated	56624_	241.9	175
BUSCOaEOG7W780V	Fragmented	71581_	322.4	190
BUSCOaEOG7N0QK9	Fragmented	52015_	456.6	291
BUSCOaEOG7W7815	Complete	55908_	685.0	362
BUSCOaEOG7SVC8M	Complete	35184_	410.6	464
BUSCOaEOG7WQM6W	Complete	20740_	754.3	680
BUSCOaEOG7KT8PW	Complete	45810_	292.5	320
BUSCOaEOG76QSZW	Complete	65592_	170.1	120
BUSCOaEOG7TFKPZ	Duplicated	52952_	1213.4	661
BUSCOaEOG7G52VM	Complete	80791_	666.5	403
BUSCOaEOG7SRH1M	Duplicated	72819_	841.7	430
BUSCOaEOG79PX3P	Complete	69443_	609.8	582
BUSCOaEOG7ZSW8F	Duplicated	104310_	143.7	157
BUSCOaEOG7SJRJQ	Fragmented	8849_	650.2	332
BUSCOaEOG7BWBZP	Duplicated	106484_	595.1	515
BUSCOaEOG7PW857	Complete	66501_	151.3	128
BUSCOaEOG7Q30MD	Duplicated	95563_	310.9	321
BUSCOaEOG7H7NG8	Fragmented	19488_	368.2	151
BUSCOaEOG7XX22M	Duplicated	50302_	212.8	700
BUSCOaEOG7Z6NS7	Duplicated	50593_	372.9	396
