#BUSCO_group	Status	Transcript	Bitscore	Length
BUSCOaEOG7BD0RM	Fragmented	TRINITY_DN84404_c0_g1_i4	142.1	321
BUSCOaEOG7VTS2T	Complete	TRINITY_DN93275_c3_g1_i1	456.1	224
BUSCOaEOG7KMJ7Z	Duplicated	TRINITY_DN93656_c2_g1_i1	192.7	475
BUSCOaEOG72CHFB	Complete	TRINITY_DN89915_c0_g1_i2	184.3	262
BUSCOaEOG74V8CD	Fragmented	TRINITY_DN93983_c1_g1_i1	923.2	637
BUSCOaEOG79WNKK	Duplicated	TRINITY_DN91311_c0_g1_i5	290.0	350
BUSCOaEOG7T23ST	Duplicated	TRINITY_DN92682_c7_g1_i1	215.3	161
BUSCOaEOG7201FJ	Fragmented	TRINITY_DN92670_c1_g2_i2	376.9	389
BUSCOaEOG7Z9J2K	Duplicated	TRINITY_DN85795_c0_g1_i2	241.5	198
BUSCOaEOG74Z4MF	Duplicated	TRINITY_DN91043_c0_g1_i3	1336.7	667
BUSCOaEOG7JB74M	Complete	TRINITY_DN95511_c0_g1_i1	289.8	269
BUSCOaEOG7KT8R4	Duplicated	TRINITY_DN90244_c2_g1_i7	290.3	296
BUSCOaEOG799F4M	Complete	TRINITY_DN93268_c1_g1_i3	618.3	493
BUSCOaEOG7GBTCC	Complete	TRINITY_DN90936_c1_g1_i1	167.6	180
BUSCOaEOG7D2SW4	Duplicated	TRINITY_DN91059_c3_g2_i1	145.9	110
BUSCOaEOG7S2DBZ	Duplicated	TRINITY_DN83455_c0_g2_i1	1052.6	540
BUSCOaEOG70GZWW	Duplicated	TRINITY_DN92627_c3_g2_i4	945.3	436
BUSCOaEOG77QH9J	Duplicated	TRINITY_DN91187_c1_g1_i1	318.2	545
BUSCOaEOG77B1CH	Complete	TRINITY_DN79060_c0_g1_i1	438.9	290
BUSCOaEOG7FJVF6	Duplicated	TRINITY_DN85703_c1_g1_i2	259.9	373
BUSCOaEOG7SC12J	Duplicated	TRINITY_DN91007_c2_g1_i2	621.8	339
BUSCOaEOG7SVC98	Duplicated	TRINITY_DN92081_c4_g1_i1	446.9	241
BUSCOaEOG75R3JJ	Duplicated	TRINITY_DN92698_c0_g1_i3	285.6	181
BUSCOaEOG70KV4Q	Duplicated	TRINITY_DN92913_c2_g1_i3	255.3	272
BUSCOaEOG7N0QMM	Fragmented	TRINITY_DN86738_c0_g2_i1	298.4	204
BUSCOaEOG7BWC0P	Duplicated	TRINITY_DN93027_c0_g2_i2	215.2	330
BUSCOaEOG7NWJRB	Duplicated	TRINITY_DN90379_c4_g1_i2	400.9	354
BUSCOaEOG73RPRM	Complete	TRINITY_DN89378_c3_g1_i1	1005.8	500
BUSCOaEOG7Q04BV	Complete	TRINITY_DN92351_c0_g1_i1	613.3	464
BUSCOaEOG7QCM9C	Complete	TRINITY_DN87188_c1_g1_i1	632.7	407
BUSCOaEOG7H1X22	Fragmented	TRINITY_DN83307_c0_g1_i2	186.0	127
BUSCOaEOG703GWZ	Fragmented	TRINITY_DN90519_c3_g2_i1	477.3	339
BUSCOaEOG75TZSR	Complete	TRINITY_DN90938_c1_g1_i3	344.4	338
BUSCOaEOG76J2GB	Complete	TRINITY_DN92284_c6_g2_i1	375.6	237
BUSCOaEOG7H4S79	Duplicated	TRINITY_DN92738_c7_g1_i2	1778.2	783
BUSCOaEOG74NHX6	Duplicated	TRINITY_DN77233_c0_g1_i4	492.1	336
BUSCOaEOG7TR6F8	Duplicated	TRINITY_DN90116_c3_g1_i2	479.4	405
BUSCOaEOG73JZB1	Duplicated	TRINITY_DN85944_c0_g1_i1	216.7	139
BUSCOaEOG7FG05V	Fragmented	TRINITY_DN90703_c1_g1_i1	519.1	516
BUSCOaEOG7J7BX5	Complete	TRINITY_DN60059_c0_g1_i1	131.0	185
BUSCOaEOG77HRTW	Duplicated	TRINITY_DN91428_c2_g1_i2	535.2	412
BUSCOaEOG7QP716	Duplicated	TRINITY_DN92629_c0_g3_i5	960.2	612
BUSCOaEOG7GBTC7	Duplicated	TRINITY_DN91782_c0_g1_i1	319.9	198
BUSCOaEOG7DP186	Duplicated	TRINITY_DN91748_c3_g5_i5	621.6	560
BUSCOaEOG7BKR9J	Duplicated	TRINITY_DN89566_c1_g1_i1	248.5	264
BUSCOaEOG7XMFCK	Complete	TRINITY_DN90452_c1_g1_i2	294.1	284
BUSCOaEOG7520X0	Duplicated	TRINITY_DN88725_c0_g1_i2	265.3	168
BUSCOaEOG7HN4GG	Complete	TRINITY_DN90013_c1_g1_i1	385.5	326
BUSCOaEOG7S84WB	Duplicated	TRINITY_DN89775_c1_g1_i8	214.4	173
BUSCOaEOG78HG7S	Fragmented	TRINITY_DN88743_c0_g1_i1	586.5	398
BUSCOaEOG7S84VN	Duplicated	TRINITY_DN93469_c4_g2_i5	213.5	200
BUSCOaEOG7HBHQ5	Duplicated	TRINITY_DN93365_c1_g1_i8	1023.3	638
BUSCOaEOG7GV5JP	Complete	TRINITY_DN89230_c0_g1_i3	315.4	236
BUSCOaEOG7PW83H	Complete	TRINITY_DN90925_c0_g1_i2	961.0	510
BUSCOaEOG7GBTC1	Duplicated	TRINITY_DN93652_c4_g1_i3	303.3	204
BUSCOaEOG76TP6K	Duplicated	TRINITY_DN90247_c2_g1_i1	303.0	178
BUSCOaEOG7C8TX7	Complete	TRINITY_DN92265_c3_g1_i2	464.4	431
BUSCOaEOG76B9ZZ	Complete	TRINITY_DN91179_c2_g1_i1	481.2	377
BUSCOaEOG73ZF7Z	Duplicated	TRINITY_DN91879_c2_g1_i1	430.0	279
BUSCOaEOG7DK52Z	Complete	TRINITY_DN76832_c0_g1_i1	247.5	128
BUSCOaEOG728N65	Duplicated	TRINITY_DN91889_c0_g1_i2	336.0	258
BUSCOaEOG7DG8S2	Duplicated	TRINITY_DN91255_c0_g1_i11	1527.7	901
BUSCOaEOG7ZH8HH	Duplicated	TRINITY_DN84730_c1_g1_i5	757.1	341
BUSCOaEOG7ZM4RV	Fragmented	TRINITY_DN92616_c0_g1_i1	507.0	501
BUSCOaEOG70D3N2	Duplicated	TRINITY_DN93121_c3_g1_i4	479.6	334
BUSCOaEOG7WHVR3	Complete	TRINITY_DN92235_c1_g1_i1	517.8	378
BUSCOaEOG7PW83M	Duplicated	TRINITY_DN90360_c1_g1_i4	967.6	444
BUSCOaEOG7Z9J1R	Complete	TRINITY_DN60009_c0_g1_i1	588.0	340
BUSCOaEOG74Z4PS	Complete	TRINITY_DN81775_c2_g1_i1	139.9	166
BUSCOaEOG7C5ZPC	Duplicated	TRINITY_DN85979_c0_g1_i2	544.4	472
BUSCOaEOG7H1X14	Complete	TRINITY_DN71078_c0_g1_i1	142.8	302
BUSCOaEOG7Z6NT6	Complete	TRINITY_DN93894_c0_g1_i1	263.4	192
BUSCOaEOG7WXBR1	Duplicated	TRINITY_DN82320_c0_g1_i1	212.7	117
BUSCOaEOG74BX73	Complete	TRINITY_DN59265_c0_g1_i1	353.9	206
BUSCOaEOG7P396B	Duplicated	TRINITY_DN87788_c0_g1_i1	719.6	402
BUSCOaEOG7DG8S2	Duplicated	TRINITY_DN91255_c0_g1_i3	1760.2	1071
BUSCOaEOG78MBFP	Fragmented	TRINITY_DN91546_c2_g3_i1	550.1	958
BUSCOaEOG7Q30KP	Complete	TRINITY_DN91966_c3_g2_i2	618.1	434
BUSCOaEOG7B3D3M	Complete	TRINITY_DN93031_c0_g2_i4	129.0	145
BUSCOaEOG7X9TN4	Complete	TRINITY_DN91888_c0_g1_i2	873.2	476
BUSCOaEOG7NKZ0F	Duplicated	TRINITY_DN92702_c2_g1_i1	1031.2	503
BUSCOaEOG7CP9XF	Complete	TRINITY_DN94575_c0_g1_i1	241.9	175
BUSCOaEOG78DM23	Duplicated	TRINITY_DN88410_c1_g1_i2	83.7	137
BUSCOaEOG7PW84M	Duplicated	TRINITY_DN92193_c3_g2_i2	135.6	236
BUSCOaEOG7N0QK9	Fragmented	TRINITY_DN90837_c1_g2_i2	456.6	291
BUSCOaEOG7SVC8M	Complete	TRINITY_DN86261_c0_g1_i2	410.2	464
BUSCOaEOG7WQM6W	Complete	TRINITY_DN90063_c2_g1_i1	754.3	680
BUSCOaEOG7KT8PW	Complete	TRINITY_DN87724_c0_g1_i1	292.5	320
BUSCOaEOG7SNMSF	Fragmented	TRINITY_DN92347_c0_g1_i1	784.3	404
BUSCOaEOG76QSZW	Complete	TRINITY_DN81530_c0_g1_i1	170.1	120
BUSCOaEOG7GJJT6	Duplicated	TRINITY_DN91422_c0_g1_i1	424.7	432
BUSCOaEOG7TFKPZ	Duplicated	TRINITY_DN92474_c0_g1_i2	922.3	495
BUSCOaEOG7G52VM	Duplicated	TRINITY_DN91685_c4_g1_i3	676.5	382
BUSCOaEOG7SRH1M	Duplicated	TRINITY_DN92974_c2_g1_i1	841.7	430
BUSCOaEOG7X9TNV	Duplicated	TRINITY_DN92729_c0_g1_i5	432.0	360
BUSCOaEOG7ZSW8F	Duplicated	TRINITY_DN86625_c0_g1_i1	144.9	157
BUSCOaEOG7SJRJQ	Fragmented	TRINITY_DN60114_c0_g1_i1	650.2	332
BUSCOaEOG7P65F5	Fragmented	TRINITY_DN91878_c0_g1_i5	509.7	482
BUSCOaEOG7BWBZP	Duplicated	TRINITY_DN90323_c3_g2_i2	595.6	515
BUSCOaEOG7PW857	Duplicated	TRINITY_DN92395_c1_g1_i4	151.3	128
BUSCOaEOG7BPMH0	Duplicated	TRINITY_DN93254_c2_g1_i2	666.1	363
BUSCOaEOG7H7NG8	Fragmented	TRINITY_DN76659_c3_g1_i1	368.2	151
BUSCOaEOG78HG7F	Duplicated	TRINITY_DN91989_c0_g1_i2	281.9	708
BUSCOaEOG7XX22M	Duplicated	TRINITY_DN93862_c0_g2_i2	494.3	1951
BUSCOaEOG7V7JN3	Duplicated	TRINITY_DN93324_c1_g1_i2	537.3	295
BUSCOaEOG7Z6NS7	Duplicated	TRINITY_DN87980_c0_g1_i2	647.9	436
BUSCOaEOG75FGV6	Complete	TRINITY_DN93645_c6_g1_i4	371.2	331
BUSCOaEOG7N0QMM	Fragmented	TRINITY_DN86738_c1_g1_i1	306.6	346
BUSCOaEOG7B6898	Duplicated	TRINITY_DN91628_c2_g1_i1	660.8	344
BUSCOaEOG7RG5XG	Duplicated	TRINITY_DN89218_c0_g1_i3	128.5	218
BUSCOaEOG7P65G3	Complete	TRINITY_DN92486_c0_g1_i6	416.1	191
BUSCOaEOG7J4GNH	Duplicated	TRINITY_DN92423_c7_g1_i3	410.8	315
BUSCOaEOG7XX22M	Duplicated	TRINITY_DN93713_c2_g3_i4	212.8	700
BUSCOaEOG7RC9RB	Duplicated	TRINITY_DN91683_c3_g3_i1	176.7	108
BUSCOaEOG7VN1KH	Complete	TRINITY_DN93858_c2_g2_i1	652.2	473
BUSCOaEOG7KT8QP	Complete	TRINITY_DN75645_c0_g1_i1	348.5	351
BUSCOaEOG7MQ3VH	Duplicated	TRINITY_DN93606_c2_g1_i1	390.0	477
BUSCOaEOG7HN4F2	Fragmented	TRINITY_DN67830_c0_g2_i1	264.5	360
BUSCOaEOG7ZDD8F	Complete	TRINITY_DN90685_c2_g1_i3	1151.4	922
BUSCOaEOG706C4S	Fragmented	TRINITY_DN85878_c0_g1_i2	1155.2	671
BUSCOaEOG7S2DD0	Complete	TRINITY_DN87326_c0_g1_i1	250.4	231
BUSCOaEOG7D2SVM	Duplicated	TRINITY_DN91533_c5_g1_i5	260.6	311
BUSCOaEOG7HN4GQ	Duplicated	TRINITY_DN92078_c1_g2_i4	228.4	205
BUSCOaEOG7DRWH9	Fragmented	TRINITY_DN93142_c2_g3_i3	232.2	279
