Query Name	Accession	Subject Name	Taxonomy	Hsp Expect
TRINITY_DN100193_c0_g1_i1	gi|954186892|gb|KRW99741.1|	Trimeric LpxA-like protein	Pseudocohnilembus persalinus	1.50137e-13
TRINITY_DN100102_c0_g1_i1	gi|954198021|gb|KRX10691.1|	Translation protein SH3-like domain	Pseudocohnilembus persalinus	1.21387e-43
-	gi|124414595|emb|CAK79698.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124406820|emb|CAK72228.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124421540|emb|CAK86410.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124407760|emb|CAK73146.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN100062_c0_g1_i1	gi|118355320|ref|XP_001010920.1|	WD domain, G-beta repeat protein	Tetrahymena thermophila SB210	4.32679e-25
-	gi|89292687|gb|EAR90675.1|	WD domain, G-beta repeat protein	Tetrahymena thermophila SB210	-
TRINITY_DN100008_c0_g1_i1	gi|829183342|ref|XP_001020944.3|	uracil-DNA glycosylase superfamily protein	Tetrahymena thermophila SB210	3.74341e-80
-	gi|586733399|gb|EAS00699.3|	uracil-DNA glycosylase superfamily protein	Tetrahymena thermophila SB210	-
-	gi|124396190|emb|CAK61702.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN100231_c0_g1_i1	gi|954197890|gb|KRX10561.1|	Ribosomal protein L31e domain	Pseudocohnilembus persalinus	2.15053e-27
TRINITY_DN100231_c0_g2_i1	gi|954197890|gb|KRX10561.1|	Ribosomal protein L31e domain	Pseudocohnilembus persalinus	1.65602e-27
TRINITY_DN100274_c0_g1_i1	gi|403369538|gb|EJY84615.1|	Cation transport ATPase	Oxytricha trifallax	1.46309e-11
TRINITY_DN100408_c0_g1_i1	gi|829178041|ref|XP_001015097.2|	cyclin-dependent kinase-like Serine/Threonine kinase family protein	Tetrahymena thermophila SB210	1.00257e-16
-	gi|586735434|gb|EAR94852.2|	cyclin-dependent kinase-like Serine/Threonine kinase family protein	Tetrahymena thermophila SB210	-
-	gi|124426662|emb|CAK91443.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124415690|emb|CAK80760.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN58488_c0_g1_i1	gi|471224875|ref|XP_004031177.1|	protein kinase domain protein	Ichthyophthirius multifiliis	6.19909e-08
-	gi|340503343|gb|EGR29941.1|	protein kinase domain protein	Ichthyophthirius multifiliis	-
-	gi|124417542|emb|CAK82556.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN58476_c0_g1_i1	gi|954197234|gb|KRX09922.1|	Lysozyme-like domain	Pseudocohnilembus persalinus	1.88709e-50
TRINITY_DN58476_c0_g2_i1	gi|954187821|gb|KRX00650.1|	Lysozyme-like domain	Pseudocohnilembus persalinus	2.968e-21
TRINITY_DN95799_c0_g1_i1	gi|954198516|gb|KRX11168.1|	Insulin-like growth factor binding protein, N-terminal	Pseudocohnilembus persalinus	8.06478e-08
-	gi|124428620|emb|CAK93392.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124414184|emb|CAK79302.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN98988_c0_g1_i1	gi|954185666|gb|KRW98551.1|	WD40-repeat-containing domain	Pseudocohnilembus persalinus	3.90171e-06
TRINITY_DN98929_c0_g1_i1	gi|471223026|ref|XP_004030301.1|	myb-like DNA-binding domain protein	Ichthyophthirius multifiliis	6.55326e-20
-	gi|340502370|gb|EGR29065.1|	myb-like DNA-binding domain protein	Ichthyophthirius multifiliis	-
-	gi|124419171|emb|CAK84119.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124400161|emb|CAK65648.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124419171|emb|CAK84119.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN90934_c0_g1_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	6.62328e-35
TRINITY_DN90934_c0_g2_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	1.02592e-26
TRINITY_DN90934_c2_g1_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	1.80298e-89
TRINITY_DN90934_c2_g1_i2	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	2.14289e-63
TRINITY_DN90934_c2_g3_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	0.0
TRINITY_DN90934_c2_g3_i3	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	0.0
TRINITY_DN90934_c3_g1_i1	gi|954187943|gb|KRX00771.1|	Armadillo-type fold	Pseudocohnilembus persalinus	6.48113e-81
TRINITY_DN90981_c0_g1_i1	gi|118394992|ref|XP_001029853.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	8.92251e-25
-	gi|89284126|gb|EAR82190.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	-
TRINITY_DN90981_c1_g1_i1	gi|118394992|ref|XP_001029853.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	1.08408e-14
-	gi|89284126|gb|EAR82190.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	-
TRINITY_DN90981_c1_g2_i1	gi|118394992|ref|XP_001029853.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	1.08408e-14
-	gi|89284126|gb|EAR82190.1|	dynein heavy chain, outer arm protein	Tetrahymena thermophila SB210	-
-	gi|124420396|emb|CAK85300.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124420396|emb|CAK85300.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124425301|emb|CAK90087.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124420765|emb|CAK85668.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN76333_c0_g1_i1	gi|829189826|ref|XP_012655115.1|	alpha/beta fold hydrolase	Tetrahymena thermophila SB210	7.44139e-15
-	gi|586729789|gb|EWS72338.1|	alpha/beta fold hydrolase	Tetrahymena thermophila SB210	-
-	gi|124392556|emb|CAK58088.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN76369_c0_g1_i1	gi|118395632|ref|XP_001030163.1|	terbinafine resistance locus protein Yip1	Tetrahymena thermophila SB210	2.4945e-20
-	gi|89284456|gb|EAR82500.1|	terbinafine resistance locus protein Yip1	Tetrahymena thermophila SB210	-
TRINITY_DN76341_c0_g1_i1	gi|118382545|ref|XP_001024430.1|	glycogen/starch/alpha-glucan phosphorylase	Tetrahymena thermophila SB210	1.56165e-18
-	gi|89306197|gb|EAS04185.1|	glycogen/starch/alpha-glucan phosphorylase	Tetrahymena thermophila SB210	-
TRINITY_DN45536_c0_g1_i1	gi|146163174|ref|XP_001010934.2|	transcription factor BTF3a	Tetrahymena thermophila SB210	7.07249e-43
-	gi|146146131|gb|EAR90689.2|	transcription factor BTF3a	Tetrahymena thermophila SB210	-
-	gi|124392323|emb|CAK57856.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN70409_c0_g1_i1	gi|118397600|ref|XP_001031132.1|	short chain dehydrogenase	Tetrahymena thermophila SB210	3.80203e-22
-	gi|89285455|gb|EAR83469.1|	short chain dehydrogenase	Tetrahymena thermophila SB210	-
TRINITY_DN70451_c0_g1_i1	gi|829146242|ref|XP_001010057.2|	ER lumen protein retaining receptor	Tetrahymena thermophila SB210	1.3024e-57
-	gi|586743571|gb|EAR89812.2|	ER lumen protein retaining receptor	Tetrahymena thermophila SB210	-
TRINITY_DN70451_c0_g2_i1	gi|829146242|ref|XP_001010057.2|	ER lumen protein retaining receptor	Tetrahymena thermophila SB210	4.58663e-13
-	gi|586743571|gb|EAR89812.2|	ER lumen protein retaining receptor	Tetrahymena thermophila SB210	-
-	gi|124401231|emb|CAK66711.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124397426|emb|CAK62931.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN70415_c1_g1_i1	gi|829190629|ref|XP_001029521.2|	zinc finger lsd1 subclass family protein	Tetrahymena thermophila SB210	3.25836e-08
-	gi|586729351|gb|EAR81858.2|	zinc finger lsd1 subclass family protein	Tetrahymena thermophila SB210	-
TRINITY_DN70497_c0_g1_i1	gi|146182285|ref|XP_001024283.2|	phospholipid-translocating P-type ATPase, flippase family protein	Tetrahymena thermophila SB210	7.41663e-13
-	gi|146143890|gb|EAS04038.2|	phospholipid-translocating P-type ATPase, flippase family protein	Tetrahymena thermophila SB210	-
TRINITY_DN62587_c1_g1_i1	gi|118376386|ref|XP_001021375.1|	MATE domain protein	Tetrahymena thermophila SB210	1.00863e-07
-	gi|89303142|gb|EAS01130.1|	MATE domain protein	Tetrahymena thermophila SB210	-
-	gi|124429389|emb|CAK94181.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124429389|emb|CAK94181.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124427984|emb|CAK92759.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|74831270|emb|CAI39274.1|	drg_B82	Paramecium tetraurelia	-
-	gi|124420808|emb|CAK85711.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN84270_c1_g1_i2	gi|118386344|ref|XP_001026291.1|	Rab-family small GTPase	Tetrahymena thermophila SB210	1.31127e-14
-	gi|89308058|gb|EAS06046.1|	Rab-family small GTPase	Tetrahymena thermophila SB210	-
-	gi|307777822|dbj|BAJ21307.1|	Rab-family small GTPase RabX12	Tetrahymena thermophila	-
TRINITY_DN84267_c0_g1_i1	gi|124088843|ref|XP_001347257.1|	40s ribosomal protein S15	Paramecium tetraurelia strain d4-2	1.53162e-40
-	gi|124390062|emb|CAK55604.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124393614|emb|CAK59141.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124405063|emb|CAK70505.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124405897|emb|CAK71328.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124407006|emb|CAK72414.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124423116|emb|CAK87920.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124424853|emb|CAK89642.1|	unnamed protein product	Paramecium tetraurelia	-
-	gi|124425754|emb|CAK90538.1|	unnamed protein product	Paramecium tetraurelia	-
TRINITY_DN84267_c0_g1_i2	gi|124088843|ref|XP_001347257.1|	40s ribosomal protein S15	Paramecium tetraurelia strain d4-2	1.4062e-36
-	gi|124390062|emb|CAK55604.1|	unnamed protein product	Paramecium tetraurelia	-
